MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday
16.1,21.6,0,46,11,15,58,69,1017,1017.3,17,17.3,0
13.3,31.3,0,41,7,15,50,23,1016.2,1012.8,19.2,29.2,0
12.5,28.8,0,31,7,11,46,17,1017.2,1013.5,18,27,0
8.9,31.9,0,43,0,17,49,16,1016.6,1013.4,15,29.3,0
16,34.5,0,44,6,,44,14,1007.5,1004.6,22.2,33.6,0
13.8,22.1,0.2,57,26,33,57,26,1014.5,1013.1,15.6,21.9,0
15.5,32,0,50,2,4,51,25,1019.5,1016.2,20.1,30.8,0
10,19.7,11.6,39,11,17,62,41,1013.4,1012,12.7,18.3,1
11.5,33.5,0,22,7,7,50,13,1016.5,1013.6,17.4,32.6,0
10.8,31.9,0,48,6,20,62,20,1016.5,1014.4,15.4,30.7,0
14.3,32.1,0,28,0,11,59,30,1022.6,1018.4,18.4,30.9,0
10.7,21.4,12.6,43,0,13,60,33,1019.8,1019.3,13.9,20.3,1
13.5,24.2,6.2,20,0,6,88,52,1024.1,1020.8,15.4,23.1,1
10.7,21.9,0,63,26,31,44,27,1008.2,1009.8,20.5,18.9,0
7,23.4,0,24,2,17,73,37,1022.8,1019.3,12.4,22.9,0
6.2,22.7,0,17,0,7,73,33,1026,1021.6,11.2,22.3,0
1.8,17,0,19,0,7,77,44,1026,1023.2,7.2,16.3,0
3.2,18.4,0,20,6,11,86,49,1026.2,1023.6,8.3,18.2,0
6.9,16.3,0,35,17,19,77,59,1015.3,1013.1,10.3,15.3,0
12.4,16.4,1.8,52,22,24,82,54,1011.8,1013.4,13,14.5,1
3.7,19.1,0,19,0,11,87,51,1023.6,1019.9,7.4,18.9,0
6.7,21.1,0,20,0,11,69,43,1025,1022.1,12.5,20.8,0
9.3,20.3,0,31,9,22,77,50,1024.6,1019.7,11.6,19.5,0
1.7,17.1,0,44,0,9,73,46,1034.1,1029.9,8,16.8,0
8,14.3,1.2,13,0,0,88,75,1031.9,1029.2,9.2,14,1
10.6,14.3,4.8,13,6,9,85,97,1023.5,1020.4,12.4,13,1
4.7,12.2,0,24,2,13,99,75,1015.5,1012.7,6.9,11.6,0
6.9,13.7,4.4,46,7,9,99,73,1011.6,1008.1,8.4,13,1
3.4,12.4,0,31,9,15,80,56,1019.9,1019,7,12,0
-1.5,12.5,0,19,0,7,91,46,1026,1024.6,2.4,12.4,0
-1.7,13.8,0,17,0,7,84,54,1030.4,1028.1,3.3,12.4,0
-0.4,15,0.2,13,0,7,84,54,1032,1028.6,3.8,14.3,0
4.8,13.3,0.6,24,0,13,96,63,1020.5,1015.6,8.1,13.2,0
8.1,16.5,0.6,33,7,19,77,53,1010.4,1007.7,11.6,15.4,0
2.9,12.6,1.8,22,4,0,99,57,1010.5,1009.9,5.9,12.5,1
-0.6,13.4,0,24,0,9,95,57,1015.6,1014.5,3.8,12.8,0
3.6,16.5,0.2,39,0,19,95,53,1023.1,1018.4,7.1,16.3,0
6.6,12.3,0,44,7,20,74,81,1009.5,1006.2,11.3,10.2,0
4.2,12.7,3.8,31,11,11,89,71,1024,1023.1,8.8,12,1
3.3,12.1,0.2,22,0,9,99,76,1025.8,1022.7,6.5,12,0
-0.8,12.9,4.2,24,6,6,78,50,1026.4,1023,4.4,12.3,1
1.9,14.8,0.2,20,4,11,72,60,1018.6,1014.7,5.9,12.6,0
2.7,17.5,0.2,24,7,13,99,57,1021.2,1016.8,6.7,17,0
0.6,15.6,0,15,0,6,85,58,1029.8,1027.2,6,14.4,0
8.9,17.1,1.2,63,26,22,68,52,1004.1,1001,13.2,16.4,1
7.2,17.9,4.2,59,20,19,81,80,1002.6,996.9,13,17.5,1
6.7,14.2,1.4,39,19,22,90,72,1018.9,1016.8,9.7,13.9,1
5.1,14.2,3,24,7,15,96,58,1023.2,1021.7,9.7,12.5,1
6.1,20.7,0,43,4,24,80,54,1016.6,1010.8,10.2,20.3,0
8.3,17.6,0,41,9,30,73,53,1005,1002.7,13.9,16.5,0
6.5,24.7,0,39,6,22,70,39,1020,1015.4,13.2,24,0
8,18.9,0.4,33,0,20,79,50,1014.6,1013.7,14.3,16.8,0
3.7,19,0.2,43,9,15,73,50,1014.5,1008.2,11.5,18.3,0
11.5,20.2,8.4,50,17,13,77,55,1002.6,999.2,15.5,19.2,1
5.3,20.6,0,44,22,13,60,57,1009.3,1002.9,15.2,17.3,0
6.8,12.2,6,56,37,24,79,72,1005.2,1003.9,7.9,11.1,1
4.5,12.9,1.6,61,35,37,78,72,1009.8,1008.4,6.7,10.7,1
5.5,17.9,0,43,17,24,79,56,1012.3,1009.9,9.2,16.8,0
4,21.4,0,35,7,17,75,36,1018,1013.4,11.3,20.9,0
11.7,22,0,30,4,11,68,55,1009.6,1004.9,16.1,20.6,0
3.2,18.2,0,33,11,9,63,39,1027.7,1025.7,11.8,17.8,0
4.6,19,0,22,17,9,55,36,1029.5,1025.7,11.2,17.3,0
4.1,16.6,6.8,39,15,19,77,56,1016,1016.2,8.8,14.9,1
7.4,25.4,0,30,9,13,68,28,1019.5,1016.2,14.7,24.8,0
10.6,23.1,0,63,2,13,68,34,1014.7,1013,14.4,21.3,0
5.9,24.1,0,26,7,9,64,43,1027.5,1023.1,12.9,23.4,0
11.3,26.8,0,19,4,9,67,41,1025.4,1020.9,17.9,25.8,0
18.7,24.3,0,46,24,20,46,39,1009.8,1011.9,24.2,21.9,0
6.6,25.3,0,44,7,26,67,28,1020.5,1017.3,14,25.3,0
11.3,29.8,0,22,6,15,57,27,1028.5,1025.3,19.2,28.9,0
13.5,31.8,0,28,4,9,55,29,1029.1,1024.8,21,30.3,0
11.4,33.5,0,24,9,9,53,18,1010,1007.1,21,32.7,0
19.3,21,10.6,37,9,9,95,91,1010.8,1009,19.7,20.8,1
18.3,28.3,25.8,61,0,46,98,67,1003.7,1003.5,19.2,25.6,1
13.2,23.9,2.4,50,9,24,82,35,1010.3,1009.3,15.9,23.6,1
13.4,31.9,0,39,6,28,47,19,1012.3,1009,21.2,30.6,0
9,26.5,0,39,4,15,52,31,1019.2,1016.1,17,26,0
11.8,29.6,0,43,2,24,52,27,1017.6,1015,19.5,28.9,0
13.1,34.7,0,28,7,19,51,22,1019.4,1015.4,22.1,32.5,0
12,31.3,0,31,7,7,52,21,1018.1,1013.7,20.8,30.4,0
17.8,35.9,0,33,6,11,58,23,1015.2,1012.6,24.4,34.1,0
18.6,29.1,12.4,56,6,28,88,48,1007.8,1006.2,20.6,28,1
20.6,42.2,0,41,9,15,38,8,1015.4,1011.2,27.8,41.2,0
16.8,25.6,0,57,20,35,51,24,1006.9,1005.5,18,24.1,0
15.1,35.9,0,39,0,17,35,10,1010,1008.5,22.9,34.4,0
16,35.2,0,35,2,7,46,14,1009,1007.7,23.1,33.9,0
21.7,36.3,0,44,22,15,39,16,1014.2,1009.7,26.6,34.7,0
23.5,32,0,44,19,,51,44,1010.8,1006.2,26.3,31.1,0
19.5,30.3,5.6,43,20,22,55,38,1016.4,1015.7,22.6,30.1,1
20.3,33.9,0,37,19,6,53,32,1020.8,1017.5,23.2,32.6,0
17.6,29,0,31,19,13,48,34,1014.7,1013.3,20.6,27.2,0
20.2,26.4,3.6,46,4,9,83,70,1014.6,1011.9,21.3,24.2,1
18.2,29.3,1.4,39,0,20,84,45,1016.7,1013.6,19.9,28.5,1
12.5,31.2,0,19,0,4,61,26,1018.6,1014.2,17.8,28.9,0
18.8,30.3,20.6,39,9,7,87,48,1010,1009,22.3,29.4,1
15.7,22.4,6.2,46,20,17,90,67,1014.4,1015.9,16.3,19,1
12.5,28.6,0,46,0,4,73,28,1023.8,1021,16.1,28.1,0
15.1,30.4,0,48,2,9,73,36,1025.4,1022.2,18.9,29.7,0
16.8,25.6,0,44,0,24,78,46,1018.7,1017.7,20.2,24.7,0
12.6,30,0,24,0,11,80,32,1019.2,1016.4,15.8,29.1,0
13.5,23.1,3.2,46,13,20,84,53,1016.7,1015.3,17.5,23,1
14.2,18.7,7,57,17,35,86,43,1010.1,1010.2,15.9,17.8,1
5.6,17.4,0,41,19,24,71,54,1018.1,1017.3,11,16,0
6.1,23.5,0,17,0,6,79,40,1022.6,1020.7,13.3,22.4,0
15.4,19.8,3.6,46,11,28,95,86,1013.4,1008.7,17.1,18.6,1
10.8,18.5,17,37,11,20,72,40,1016.2,1017.6,14.4,18.4,1
5.1,17.9,0,15,4,9,78,49,1026.5,1023,10.4,16.9,0
5.9,21.1,0.2,22,0,9,84,46,1027.9,1024.1,11.7,20.6,0
8.9,14.5,3,39,17,22,84,51,1016.1,1015.5,9.3,14.5,1
3,15.6,0,43,9,20,77,47,1012.5,1014.8,10.7,13.2,0
3.1,17.7,0.2,15,7,7,99,46,1021.2,1017.1,5.7,17.1,0
1.4,18.5,0,28,0,7,86,39,1024.1,1021.3,6.6,18.4,0
2.1,16.5,0,13,0,4,88,44,1023.8,1020.4,6.8,16.1,0
10.2,14.9,10.4,26,7,7,88,99,1008.7,1005,13.5,12.8,1
5.7,16.6,0.2,11,0,9,92,59,1019.6,1018,9.7,16.5,0
9.4,15,28,26,9,11,99,89,1005.7,1002.8,12.1,14,1
3.1,18.4,0,19,0,11,82,53,1023.6,1019.4,8.7,18.1,0
1.7,10.2,0,17,7,11,99,84,1018.7,1015.8,5.1,8.9,0
-1,13.1,0,11,6,9,83,47,1031.8,1030.7,4.1,12,0
-0.3,12.8,0,11,2,9,92,65,1032.3,1028.3,3.4,12.4,0
1.5,15.5,0,52,4,9,91,73,1027.4,1022.1,7.4,13.5,0
3,12.2,2.2,24,7,13,88,70,1019.6,1018,6.9,10.9,1
3.5,16.5,0,20,0,7,89,52,1036.9,1032.9,7.2,15.5,0
6.2,12.1,10.2,35,4,4,86,71,1020.5,1020.5,7.6,11.1,1
-0.6,8.3,0,52,7,9,99,70,1022.7,1020.3,2.3,8.2,0
1,10.3,0,11,0,2,99,76,1030.5,1029.8,3.7,10,0
1.5,13.5,0,50,0,7,99,64,1026.9,1025.1,3,12.6,0
0,14.6,0,15,0,7,90,57,1030.9,1027.1,4.8,14.1,0
5,15.4,13.4,28,4,11,99,62,1020.6,1019.6,11.8,15.2,1
3.5,15.3,0.2,13,9,0,99,62,1024.3,1021,5.9,15.1,0
0.6,13.1,0,48,2,2,99,56,1028.7,1026.3,2.9,13,0
0.6,12.9,0,17,0,7,99,58,1029.3,1027.1,2.9,12.5,0
-0.5,13.8,0,19,0,11,89,51,1032.7,1030.7,4,12.4,0
2.5,14.3,0.2,20,4,2,99,58,1031.7,1029.1,4.5,13.8,0
-1.2,15,0.2,15,0,7,85,52,1036.1,1031.5,4,14.7,0
2.1,12.6,0,15,4,6,80,67,1027.8,1022.3,5.8,12.2,0
7.5,12.3,2.2,30,4,19,100,85,1013.7,1015.6,11.1,11.6,1
5.4,14.7,18.6,39,15,19,85,56,1019.5,1018.7,7.8,13.7,1
7.2,12.1,1.8,46,11,13,83,94,1004.5,1004.4,10.7,10.9,1
1.3,11.8,0.2,31,0,20,92,86,1016.9,1006.3,5,8.7,0
6.4,13.3,1.8,67,19,22,90,55,1013.2,1010.3,9.4,11.7,1
5.4,11.8,9.6,50,20,15,84,70,1003.1,1001,7.3,11.2,1
2.3,15.4,0,20,0,9,84,51,1028.9,1025.2,7.4,15.2,0
10,16.8,0.8,33,0,9,92,68,1016.5,1016,10.9,16.1,0
9.8,14.2,20.8,72,22,19,81,67,1011.7,1013.8,10.6,13.2,1
2.4,16.4,0,30,2,17,90,55,1022.7,1020.8,9,16.2,0
8.6,20.1,0,26,2,6,70,48,1025.8,1021.7,14.7,19.1,0
5.4,20.6,0,24,0,13,75,43,1020.5,1017.3,13.2,20.1,0
-0.1,14.6,0,28,9,17,59,45,1026.3,1023.7,9.5,14,0
4.1,17.4,0,20,7,11,71,42,1027.5,1024.6,9.9,16.5,0
10.1,25.9,0,24,7,9,78,52,1021.9,1019.5,16.3,23.8,0
7.3,15.9,10,46,20,26,64,42,1020,1020.7,10,15.5,1
8.8,23.5,0,33,7,20,80,35,1017.9,1015.6,14.8,23,0
10.2,22.3,1.6,35,11,17,81,46,1016.2,1015.4,15.6,21.6,1
10.2,18.9,1.2,35,6,19,79,52,1016.5,1013.8,12.5,17.5,1
7.1,20.3,0,44,11,24,73,51,1016.3,1014.7,12.1,20.2,0
10.7,18,0,35,9,26,63,49,1019.3,1018.2,14.4,16.9,0
7.5,22.9,0,31,15,6,59,42,1022.6,1018.6,14.4,20.9,0
11.6,27.7,0,46,7,11,69,47,1024.3,1021.4,18.4,26,0
15.5,29,0,46,7,17,76,45,1019.9,1015,21.5,28.2,0
17.5,31.3,0,41,20,26,60,41,1012.5,1008.7,24.4,30.4,0
21.1,26.9,0,61,13,24,63,78,1012.1,1011,24.4,24.8,0
14.8,29.4,0,31,22,17,49,34,1023.5,1020.5,23.2,28.4,0
18.9,27.6,0,44,7,15,47,57,1018.2,1017,23.9,25.7,0
16.7,23.9,12,24,11,9,72,73,1014.1,1013.3,19.6,20.6,1
16.1,26.6,0.6,50,9,11,70,90,1015,1013.3,21.3,19,0
21.3,29.8,0,43,24,26,50,44,1011.5,1008.8,25.5,29,0
16.7,22.5,0,46,13,26,59,38,1010.1,1008.7,19.1,21.9,0
11.2,24.3,0,43,17,24,59,35,1009.2,1004.5,15.6,22.8,0
10.3,25.9,0,46,6,26,62,31,1005.3,1002.1,17.7,24.1,0
19.3,29.1,0,35,15,24,60,72,1014.6,1009.9,23.2,23.4,0
9.1,26.7,0,37,17,11,49,35,1016.8,1014.2,15.1,24.7,0
13.5,31,0,30,19,13,57,28,1015.6,1012.8,21.9,29.6,0
14.8,34,0,41,9,24,55,25,1015.8,1013.3,21.7,33.5,0
23.2,35.8,0,26,13,9,46,29,1011.1,1009.2,26.8,32.8,0
20.1,32,35,37,19,11,68,40,1013.6,1010,24.1,31.2,1
22.1,30.6,14.2,41,6,28,86,59,1009.5,1006.5,24.4,29.5,1
12.9,27.2,0,28,6,9,64,43,1007.4,1005.9,17.9,25.5,0
17.8,32.5,0,37,9,6,60,40,1012.4,1009.9,24.9,32,0
19.8,34.6,0,43,13,13,60,37,1013.6,1010.3,25.3,33,0
14.9,32,0,28,4,15,60,30,1008,1006.6,21.1,30.3,0
12.6,32.3,0,28,13,9,56,20,1017.8,1015.9,20.6,30.6,0
14.5,32,0,35,7,9,59,32,1018.9,1017.2,21.5,30.2,0
20.5,39.8,0,61,6,28,57,16,1009,1005.2,27.2,38.8,0
21.9,33.7,0,41,17,20,77,49,1014.1,1011.1,25.4,32,0
22.5,28.2,2.6,81,4,9,80,99,1012.7,1011.1,24.8,23.4,1
10.8,25.5,0,26,15,7,58,40,1023.6,1019.5,14.5,23.9,0
16.4,28,0,24,7,9,69,40,1022.3,1018.6,20.5,26.7,0
18.9,22,0.2,31,0,13,80,85,1017.6,1016.1,20.7,20.6,0
19.3,30.7,0,52,13,15,68,51,1013.7,1010.3,22,30.4,0
12.3,25.2,0,69,15,9,53,43,1022.1,1020.5,15,23.2,0
17.9,30,11.8,20,7,11,85,55,1007.8,1003.7,20.4,28.5,1
10.6,26.6,0,31,4,9,73,42,1023.9,1019.2,16.2,25.8,0
18.7,20.8,13.4,22,9,13,92,95,1012.3,1011.9,19.8,19.6,1
13.3,27.4,0,24,13,15,74,43,1013.9,1010.6,17.4,26.7,0
13.9,28.1,0,57,13,9,71,46,1011.9,1008.4,19.4,27.4,0
13.9,22,8,44,13,19,90,64,1003.7,1003.8,15.7,20.7,1
7.2,22.1,0.2,24,0,7,83,47,1022.8,1021.5,11.6,21.4,0
4.4,18.1,0.2,24,0,6,70,42,1024.3,1022.3,10.8,17.8,0
3.4,15.9,0,17,0,9,96,57,1020.7,1016,6.2,15.7,0
3.8,16.1,0,44,7,24,60,43,1017.9,1016.8,11.4,15.6,0
0.2,10.1,0.4,24,4,4,94,89,1015.3,1013.8,4.1,8.6,0
3.8,14.3,1.8,35,20,19,82,46,1020.7,1021.8,6.8,13.6,1
8.9,15.6,3.6,26,15,7,85,65,1007.8,1008.2,10,14.8,1
3.6,15.9,0,26,0,11,76,51,1025.9,1023.2,8.7,15.8,0
2.9,14.6,0,33,13,17,89,51,1018.1,1016.2,7.2,13.7,0
-1.1,14,0,20,0,13,85,46,1021.3,1021.7,4.3,13.9,0
1,16.1,0,46,0,6,89,52,1023.6,1018.4,4.8,16,0
7.6,14.6,3.6,46,6,19,86,67,1015.4,1010.8,10.4,14.1,1
6.2,14.2,3.4,43,19,17,85,70,1020.2,1020.9,11,13.3,1
7.1,9.8,0,30,15,17,91,88,1021.6,1020.1,7.2,8.7,0
0.2,14.1,0,20,0,9,78,56,1031.3,1026.3,5.3,13.7,0
0.3,16.7,0.2,33,2,19,99,54,1021.5,1020.2,3.6,15.8,0
3.5,17.2,0,26,4,11,75,46,1022.2,1020,8.8,16.8,0
0.1,14.6,0,19,0,11,72,45,1024.7,1021.6,5.8,14.3,0
0.2,13.1,0,41,6,6,99,59,1031,1027.6,2.9,12.6,0
9.9,12.9,14.6,30,7,6,99,92,1019.4,1014.8,10.3,12.4,1
6.3,10.9,3.6,19,4,13,89,83,1009.3,1006.9,8.9,10.4,1
1.6,16.3,0,24,4,15,74,43,1020.7,1019.5,6.9,16.2,0
9,19.4,0.2,24,0,13,80,45,1020.8,1016.2,11.8,18.7,0
7.1,12.6,5.6,44,4,28,95,91,1011.8,1005.7,10.4,11.8,1
3.2,17.3,0,22,7,9,62,32,1031.5,1030.4,11.2,16.6,0
2.5,16.9,0,17,7,9,99,56,1037.3,1032.6,6.4,16.1,0
2.4,17.5,0,17,11,6,99,56,1031.4,1026.7,6.6,16.8,0
0.6,15.7,0,20,0,7,99,47,1024.3,1022.1,5.4,15,0
2.8,20.4,0,17,7,7,65,31,1028.4,1025.3,10.4,19.6,0
-0.1,14.4,1,30,0,17,78,44,1021.3,1020.2,7.3,13.7,0
4.4,20.8,0,24,6,7,78,50,1017.8,1013.9,9.8,19.3,0
3.7,21.7,0,26,7,20,78,52,1017.5,1011.8,12,21.5,0
10.1,13.6,1,61,31,22,73,70,1008.8,1011.2,12.2,12.9,0
8.2,13.5,3.8,26,9,11,85,80,1005.8,1007.1,10.5,13,1
4.1,19.3,0,24,6,4,74,47,1024.9,1021.9,10.5,19.1,0
10.2,16,0,13,9,4,87,80,1014.8,1012.6,13,15,0
11.1,21.4,4.2,41,7,7,88,53,1013.2,1010.1,13.3,19.9,1
8.7,21.8,0,33,4,24,79,50,1012.2,1009.5,13.5,21.3,0
10.3,25.5,0,43,4,19,77,53,1009.9,1007.5,17.1,23.7,0
9.1,18.7,0,50,24,33,58,34,1017.9,1020.5,12.7,17.3,0
11.3,24.7,0,35,6,11,77,47,1023.7,1022.7,17.9,23.6,0
11.7,30.9,0,24,2,11,66,27,1020.7,1015.4,18.3,30.3,0
16.7,25,1.2,44,9,20,91,63,1010.4,1009.9,18.4,24,1
9.9,20.1,0,50,17,28,74,54,1015.2,1015.6,13.1,19.1,0
9.8,29.6,0,35,11,17,72,36,1016.9,1012.5,18.5,28.7,0
13.8,32.9,0,50,7,15,63,44,1011.2,1006.4,21.7,27.1,0
15.8,28.5,5.4,30,4,17,83,47,1013.1,1011,21.4,27.5,1
16.1,28.3,0,46,19,30,49,31,1006.1,1008.3,25.2,27.6,0
11.9,29.3,0,37,2,19,65,29,1016.4,1014.5,18.9,28.4,0
15.1,31.9,0,31,9,11,66,36,1017.1,1013,22.9,30.5,0
8.1,23.5,0,33,4,19,54,36,1018.1,1014.3,17,22.6,0
15,20,11,,11,,99,,1020.1,,15,,1
15,29,0,46,9,6,62,37,1012.6,1009.5,20.8,27.7,0
17.8,25.1,0,37,7,9,72,58,1009.7,1005.8,20.1,24.3,0
15.8,28.3,12.2,37,9,19,94,55,1004.3,1000.7,18.3,25.6,1
10.9,26.7,0,35,2,11,63,43,1006.5,1004.4,18.3,25.6,0
12.6,24.6,0,43,15,13,49,36,1009.1,1008.1,19,24.5,0
13.4,29.9,0,24,13,7,60,37,1012.7,1011.3,20.9,28.6,0
20.5,32.5,0,35,7,9,60,41,1012.2,1011.7,24.5,30.4,0
13.3,30.6,0.4,35,6,17,59,23,1014.9,1011.6,20.9,29.2,0
11.7,33.4,0,31,15,9,47,19,1011.7,1007.5,21.6,30.7,0
12.7,24.6,3.8,43,20,28,56,33,1010.1,1009.4,16.5,23.3,1
10.8,24.8,0,50,17,30,57,30,1011.2,1008.7,17.9,23.5,0
13.3,29.4,0,31,19,15,49,26,1015.2,1012.6,19.5,27.7,0
16.1,30.7,0,31,9,15,64,55,1016.6,1014.7,21.2,25,0
20.1,36.2,0,35,9,19,58,23,1014.2,1010.2,25.3,34.4,0
18.5,35.3,0,48,11,11,56,28,1013.4,1010.7,24.9,33.5,0
17.5,36.4,0,28,9,7,38,24,1013.6,1010,24.4,34.9,0
19.9,35.4,0,39,17,9,50,29,1015.6,1011.3,24.7,33.6,0
15.1,27.9,9,43,17,19,61,33,1007.7,1008.2,19.1,26.2,1
10.9,28.1,0,35,9,11,63,29,1008.5,1006.5,16.9,25.9,0
13.8,27.4,3.6,43,9,30,78,43,1010.8,1008.1,18.7,22.9,1
11.5,27.8,0,35,9,11,69,42,1011.7,1009.2,16.6,25.1,0
14.7,31.4,0,26,15,11,60,34,1019.4,1016.4,21.1,30,0
16.9,28.3,0.4,30,7,13,83,63,1018,1017.2,18.4,23.6,0
13.5,28.9,1.4,31,11,7,72,36,1012.6,1010.6,19.3,27.7,1
19.5,24.8,0.6,24,7,11,74,69,1013,1011.1,20.5,23.5,0
17,25.8,36.6,48,13,24,60,46,1010.9,1011.3,19.1,25.2,1
18.8,19.6,0,52,7,15,62,92,1014.2,1011.1,19.3,17.1,0
16.7,24.8,66,35,9,20,100,65,1009.3,1010.4,19.1,23.1,1
15.8,23.2,0,52,22,30,49,42,1023.2,1020.2,17.7,22.3,0
17.2,30,9.6,41,2,24,79,44,1014.4,1010.8,20.8,28.5,1
12.4,28.4,0,30,7,15,74,47,1018.6,1013.1,17.6,26.9,0
8.9,19.7,0.4,37,17,22,79,54,1015,1015.4,11.1,17.5,0
11,26.5,0,22,6,9,81,44,1019.2,1016,15.1,25.5,0
12.9,29.9,0,30,9,13,75,41,1015.6,1012,18.4,29.1,0
12.7,28.5,0,19,2,7,78,51,1019.5,1016.4,19.6,27.8,0
10.1,20.4,0,43,20,19,59,41,1020.8,1018.8,14.1,19.9,0
8.2,26.2,0,19,6,11,79,36,1025.6,1022.3,15.5,25.8,0
14.6,22.7,34.2,19,7,2,100,62,1017.3,1014.7,15.7,21.9,1
7.3,17,1,39,26,22,81,63,1015.1,1013.6,9.8,16.8,0
5,17,0,19,6,11,95,63,1021.9,1019.4,9.5,16.7,0
4.6,18.4,0,26,4,11,97,47,1023.3,1020.7,10.2,17.8,0
4.4,19.9,0,30,6,11,79,50,1026.2,1022.8,10.4,19.4,0
7.6,16.3,0,30,17,22,94,89,1021.7,1019.5,14.2,15.8,0
3.5,15.7,0,28,2,19,87,56,1023.3,1020.4,8.6,14.9,0
4.1,13.3,0,17,7,13,100,71,1018.6,1017.8,6.9,12.6,0
5.5,20.3,0,28,0,13,91,49,1019.6,1016,9,20,0
7.2,17,0,26,4,7,92,72,1021.1,1019,11.7,16.3,0
1,14.7,0,35,6,19,84,53,1020.2,1018.1,8.2,13.3,0
2.3,16.7,0,13,0,7,100,51,1026.3,1022.7,5.7,15.5,0
2.6,17.8,0,17,0,7,97,59,1025.3,1022.5,7.2,16.6,0
7.8,17,0,24,4,11,82,96,1017.5,1015.2,10.9,11.8,0
5.7,13.7,3.6,31,9,9,84,72,1016.5,1012.6,9.7,13.4,1
-1,15.1,0,20,0,11,85,50,1020.9,1020.8,6,14.6,0
-0.3,15.9,0,15,0,7,84,52,1026.2,1022.2,5.7,14.5,0
0.2,15.2,0,13,2,7,85,60,1022.9,1019.7,6.3,15.1,0
-1.3,11.7,0,20,0,13,100,64,1023.5,1018.8,3,11.4,0
-1.7,10.6,0.8,24,4,17,100,68,1025.1,1025.3,0.3,10.4,0
5.5,15.5,3.8,35,0,19,100,68,1013.7,1008.8,9.9,14.8,1
0.6,11.7,4.6,39,0,19,100,68,1013.6,1011.6,4.3,11.1,1
3.7,9.6,3.8,26,7,9,100,91,1016.2,1014.7,6.5,8.2,1
-2.5,13.3,0,17,0,7,94,58,1034.4,1030.7,2.9,12.8,0
5.2,11.9,2.4,44,7,22,95,97,1020.8,1015.6,9.1,11.2,1
3.8,12.6,0,28,0,11,100,90,1015.7,1010.6,7.1,11.4,0
7.1,15.8,15.4,24,6,13,100,81,1009.3,1008.5,12.5,14.3,1
7.2,12.4,2.8,22,7,15,94,89,1028.6,1027.2,10.1,12,1
8.7,15.4,0.4,19,0,9,100,66,1026.2,1022.8,10.2,14.2,0
2.3,15.3,0,31,0,17,86,67,1028.7,1027.3,9.2,13.7,0
1.4,15.3,0,15,2,7,100,53,1033.1,1030.3,5.2,14.8,0
6.7,11.5,6.2,17,9,9,96,86,1013.2,1012.3,7.8,10.3,1
1.1,13.7,1.8,33,0,20,100,55,1025.9,1024.6,5.7,13.4,1
-1.3,13.9,0,20,0,9,80,47,1029.1,1025.5,4.8,12.4,0
-0.5,13.7,0.2,20,0,9,76,50,1025.4,1022.5,6,13.4,0
0.6,16.5,0,20,2,9,79,46,1028.4,1025.1,6.2,16.3,0
2.1,12.4,0,17,2,6,89,55,1024.6,1020.4,6.4,11.7,0
2.1,16.4,0,33,7,19,84,45,1020.1,1015.3,7.9,15.6,0
6.2,19.4,0,35,9,19,74,50,1012.6,1005.7,11.3,18.5,0
-0.2,14.3,0,19,7,7,100,59,1026.4,1023.2,4.6,13.9,0
